Year,GDP (Current US$)
2025,
2024,3909891533858.08
2023,3638489096033.86
2022,3346107287730.93
2021,3167270623260.47
2020,2674851578587.27
2019,2835606256558.19
2018,2702929641648.74
2017,2651474262755.45
2016,2294796885663.16
2015,2103588360044.94
2014,2039126479154.52
2013,1856721507621.58
2012,1827637590410.41
2011,1823051829894.55
